epoch,accuracy,loss,val_accuracy,val_loss
0,0.9961056709289551,0.016432803124189377,0.55561763048172,6.998723030090332
1,0.9999815225601196,0.0001758458820404485,0.4156978130340576,18.907203674316406
2,0.9999836087226868,0.00013624245184473693,0.4356212913990021,85.29911041259766
3,0.999991774559021,5.969145422568545e-05,0.3845950663089752,46.71229934692383
4,0.9981368780136108,0.012519992887973785,0.6248448491096497,11.475711822509766
5,0.9999895095825195,0.00010405395005363971,0.5396385788917542,15.900959014892578
6,0.9999879598617554,8.463228004984558e-05,0.5753712058067322,21.332298278808594
7,0.999991238117218,5.0131686293752864e-05,0.5046013593673706,61.56998062133789
8,0.9999997615814209,1.3960253681943868e-06,0.4881596267223358,74.61599731445312
9,0.9930608868598938,0.05257068946957588,0.0976158156991005,8.906878471374512
10,0.9948140978813171,0.03286225348711014,0.207864448428154,8.285738945007324
